stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
EJ770,1710,"VISENEAU / MARKWELL",,45.452756,-75.515477,,,0
EJ774,7787,"JEANNE D'ARC / AD. 5810",,45.461852,-75.535318,,,0
EJ775,7761,"VISENEAU / INNES",,45.452076,-75.515834,,,0
EJ776,1759,"JEANNE D'ARC / AD. 5875",,45.461647,-75.535475,,,0
EJ777,7786,"JEANNE D'ARC / HUNTER'S RUN",,45.461532,-75.531551,,,0
EJ778,7788,"JEANNE D'ARC / HUNTERS RUN",,45.461307,-75.531516,,,0
EJ779,7785,"JEANNE D'ARC / BOYER",,45.461641,-75.529529,,,0
EJ780,7789,"JEANNE D'ARC / BOYER",,45.461494,-75.529199,,,0
EJ785,7784,"JEANNE D'ARC / ORLÉANS",,45.46199,-75.527106,,,0
EJ790,7790,"JEANNE D'ARC / ORLÉANS",,45.462049,-75.525673,,,0
EJ795,7783,"JEANNE D'ARC / MONTCERF",,45.46238,-75.524401,,,0
EJ800,7791,"JEANNE D'ARC / CEDAR MILLS",,45.462021,-75.522349,,,0
EJ805,1760,"JEANNE D'ARC / BEAUSÉJOUR",,45.460582,-75.520404,,,0
EJ808,7782,"JEANNE D'ARC / NATALIE",,45.458719,-75.518173,,,0
EJ810,1762,"JEANNE D'ARC / BEAUSÉJOUR",,45.460013,-75.52012,,,0
EJ815,7781,"JEANNE D'ARC / BELCOURT",,45.458836,-75.514092,,,0
EJ816,7792,"JEANNE D'ARC / NATALIE",,45.458419,-75.51791,,,0
EJ817,1761,"JEANNE D'ARC / DES ÉPINETTES",,45.459417,-75.510489,,,0
EJ820,7793,"JEANNE D'ARC / FRANK BENDER",,45.4587,-75.51398,,,0
EJ822,2908,"DES ÉPINETTES / SUNVIEW",,45.459627,-75.509833,,,0
EJ825,7780,"SUNVIEW / DES PERDRIX",,45.460962,-75.512252,,,0
EJ827,7779,"SUNVIEW / AD. 1672",,45.463158,-75.514324,,,0
EJ830,1782,"SUNVIEW / DES PERDRIX",,45.461006,-75.51206,,,0
EJ832,7769,"SUNVIEW / DES PERDRIX",,45.462332,-75.513571,,,0
